  V_VI                 , V(C1:1)              
  2.090000000000e+000  ,2.085112958451e-001  
  2.100000000000e+000  ,2.026334722763e-001  
  2.110000000000e+000  ,1.968874192417e-001  
  2.120000000000e+000  ,1.912699156561e-001  
  2.130000000000e+000  ,1.857778576590e-001  
  2.140000000000e+000  ,1.804082731138e-001  
  2.150000000000e+000  ,1.751582996747e-001  
  2.160000000000e+000  ,1.700251926209e-001  
  2.170000000000e+000  ,1.650063007056e-001  
  2.180000000000e+000  ,1.600990786631e-001  
  2.190000000000e+000  ,1.553010697900e-001  
  2.200000000000e+000  ,1.506099126523e-001  
  2.210000000000e+000  ,1.460233213258e-001  
  2.220000000000e+000  ,1.415390962773e-001  
  2.230000000000e+000  ,1.371551103013e-001  
  2.240000000000e+000  ,1.328693143120e-001  
  2.250000000000e+000  ,1.286797209255e-001  
  2.260000000000e+000  ,1.245844140054e-001  
  2.270000000000e+000  ,1.205815371357e-001  
  2.280000000000e+000  ,1.166692986686e-001  
  2.290000000000e+000  ,1.128459578917e-001  
  2.300000000000e+000  ,1.091098334679e-001  
  2.310000000000e+000  ,1.054592938574e-001  
  2.320000000000e+000  ,1.018927617540e-001  
  2.330000000000e+000  ,9.840870228425e-002  
  2.340000000000e+000  ,9.500563052472e-002  
  2.350000000000e+000  ,9.168210344274e-002  
  2.360000000000e+000  ,8.843672382771e-002  
  2.370000000000e+000  ,8.526813010847e-002  
  2.380000000000e+000  ,8.217500309678e-002  
  2.390000000000e+000  ,7.915605912461e-002  
  2.400000000000e+000  ,7.621005355702e-002  
  2.410000000000e+000  ,7.333577191465e-002  
  2.420000000000e+000  ,7.053203596197e-002  
  2.430000000000e+000  ,6.779769779977e-002  
  2.440000000000e+000  ,6.513164302825e-002  
  2.450000000000e+000  ,6.253278293405e-002  
  2.460000000000e+000  ,6.000006002048e-002  
  2.470000000000e+000  ,5.753244287000e-002  
  2.480000000000e+000  ,5.512892901352e-002  
  2.490000000000e+000  ,5.278853799450e-002  
  2.500000000000e+000  ,5.051031642095e-002  
  2.510000000000e+000  ,4.829333398471e-002  
  2.520000000000e+000  ,4.613668343230e-002  
  2.530000000000e+000  ,4.403947967276e-002  
  2.540000000000e+000  ,4.200085904678e-002  
  2.550000000000e+000  ,4.001997860717e-002  
  2.560000000000e+000  ,3.809601543002e-002  
  2.570000000000e+000  ,3.622816595511e-002  
  2.580000000000e+000  ,3.441564535394e-002  
  2.590000000000e+000  ,3.265768692405e-002  
  2.600000000000e+000  ,3.095354150834e-002  
  2.610000000000e+000  ,2.930247693799e-002  
  2.620000000000e+000  ,2.770377749800e-002  
  2.630000000000e+000  ,2.615674341415e-002  
  2.640000000000e+000  ,2.466069036029e-002  
  2.650000000000e+000  ,2.321494898509e-002  
  2.660000000000e+000  ,2.181886445726e-002  
